"","count","sheep","hunting","unicorn","vegetation_height"
"47",22,10.5891164375319,"mid",5.11593080783404,107.665340617072
"48",23,15.4869218763205,"high",4.70917783951968,101.409035112123
"49",23,8.98273300550396,"low",4.44035499237229,115.483519532203
"50",22,8.49132718977651,"mid",5.6186762989876,101.680251969625
"51",23,16.6353170364154,"high",4.00770961220889,119.402415280428
"52",23,11.0349585467719,"low",5.92111142688875,114.308243349272
"53",21,8.28993311811671,"mid",3.42803932873688,106.323861393655
"54",19,4.52218501729816,"high",3.87218569284911,96.3040993430417
"55",24,14.8381106136579,"low",5.97717292839903,103.495465914248
"56",23,13.5484945381043,"mid",3.15429799410874,91.8118298820045
"57",21,11.5513545402206,"high",4.00553202837285,125.082510798179
"58",22,7.61486677720077,"low",6.17708767408346,111.524196284453
"59",21,7.44669730563684,"mid",5.49113086497792,97.7570476080986
"60",20,7.77426361930472,"high",5.17366890010298,97.0813113876093
"61",24,12.554874188152,"low",4.39987675889967,102.220016513266
"62",22,10.9283304519719,"mid",4.71164722550004,107.04030948903
"63",21,9.59720341779671,"high",5.57173651267988,111.982043621155
"64",24,13.8006983709319,"low",5.5015914284991,87.0300426995713
"65",21,7.55569538829192,"mid",4.9853548585908,117.058028320158
"66",22,11.7718951038887,"high",5.84980115504733,98.1356379167418
"67",23,11.3481610167919,"low",6.83173735067008,118.215275575234
"68",20,4.1597741305217,"mid",3.18717203329027,83.1146085244283
"69",23,15.450886217729,"high",7.21852944907562,79.4426488974691
"70",23,10.8239832137186,"low",5.28814263581782,105.889906283521
"71",23,12.292871218324,"mid",6.62159378532354,98.6657459673394
"72",20,7.12285233980692,"high",5.91097242318569,105.438740387578
"73",23,10.1520677824735,"low",4.97631047824824,83.1215818564638
"74",22,8.74545648525594,"mid",4.76128506333662,89.9199236054378
"75",20,7.57488125259344,"high",4.7830491006846,100.206619823417
"76",23,9.40477818310094,"low",4.38819284721956,102.876688230886
"77",21,5.62966657083274,"mid",5.56834979619026,92.832786572407
"78",22,14.8974301525093,"high",4.35920754115652,112.883389412082
"79",23,9.36813847331713,"low",4.59263668404884,96.872397741256
"80",21,7.5080988952415,"mid",6.64287728895801,110.217977088262
"81",22,14.4340031246699,"high",4.86898702752311,83.4597042423971
"82",23,11.1170023267636,"low",5.00242930019619,109.189154333056
"83",21,7.25102586122901,"mid",5.90060458855853,113.073072417358
"84",21,8.73853034599107,"high",6.1617977880222,85.4760103449764
"85",23,9.85680671400632,"low",3.93839008237301,105.073543097923
"86",23,13.6698997205819,"mid",5.6377351080814,121.777591143072
"87",21,8.67083882034649,"high",3.53939409180743,107.866461317867
"88",23,9.51255173923583,"low",5.33150829685407,98.2765796879734
"89",22,10.9095624729568,"mid",3.85888455958454,114.144652642879
"90",20,6.26908115960225,"high",4.50686706603615,117.922744588338
"91",24,13.7955204052717,"low",5.58846218720849,116.504027019974
"92",23,13.2647921854546,"mid",5.61502626397553,94.1051825134536
"93",21,10.852420869242,"high",4.28058282903768,111.85805254832
"94",24,11.9400108716566,"low",3.71520752667155,103.46488988178
"95",22,9.91569384379578,"mid",4.94231534788206,101.732165754195
"96",22,13.727840654176,"high",6.91483759257127,91.0653633067248
"97",24,12.3649541749699,"low",4.56045853932352,105.151803520068
"98",21,5.13611468606514,"mid",4.69675854133092,112.427889291862
"99",22,11.9247021504562,"high",5.01145252544032,108.001347023663
"100",22,7.11567870012404,"low",4.91569311403157,92.7251882223163
